epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5876,3.13435,6.75555,1.90833,0.91431,0.26923,0.29738,0.08275,2.69135,5.37913,1.66874,0.00020004,0.00020004,0.00020004
2,33.0243,2.89688,3.43589,1.62102,0.57824,0.61538,0.55747,0.23184,2.25573,3.21324,1.45512,0.000412624,0.000412624,0.000412624
3,49.2746,2.43497,2.43181,1.49141,0.3463,0.34667,0.35665,0.16201,2.29404,20.6643,1.44792,0.000620917,0.000620917,0.000620917
4,63.0419,2.32828,2.05485,1.37237,0.44434,0.88029,0.47546,0.15631,2.09278,60.1759,1.35942,0.00082492,0.00082492,0.00082492
5,79.2001,2.23702,1.73296,1.36815,0.75599,0.68381,0.75091,0.24717,2.29782,1.83276,1.43532,0.00102463,0.00102463,0.00102463
6,94.2791,2.1698,1.38321,1.30013,0.39902,0.61538,0.53182,0.20094,2.15111,2.35704,1.39792,0.00122005,0.00122005,0.00122005
7,108.784,2.30956,1.34319,1.38417,0.52143,0.80769,0.52823,0.20593,2.17326,4.99659,1.36178,0.00141118,0.00141118,0.00141118
8,122.784,2.23476,1.3821,1.35126,0.4943,0.34615,0.44159,0.17032,1.99748,12.2178,1.31291,0.00155148,0.00155148,0.00155148
9,138.167,2.09878,1.43465,1.29058,0.17109,0.73077,0.19831,0.0692,2.18492,118.93,1.42432,0.00153497,0.00153497,0.00153497
10,152.502,2.05897,1.60075,1.27919,0.07565,0.88462,0.07453,0.02967,2.08193,33.2016,1.33421,0.00151847,0.00151847,0.00151847
11,166.3,2.0951,1.33118,1.2621,0.75819,0.8441,0.79122,0.23747,2.38668,1.64973,1.54064,0.00150197,0.00150197,0.00150197
12,179.288,2.11348,1.18979,1.30667,0.91908,0.96154,0.97533,0.37117,2.12816,1.41161,1.36318,0.00148546,0.00148546,0.00148546
13,193.01,2.02357,1.11643,1.19855,0.84655,0.88462,0.8807,0.32062,2.19176,1.19207,1.39009,0.00146896,0.00146896,0.00146896
14,208.326,2.10867,1.14275,1.25548,0.87286,0.80541,0.96048,0.37163,1.9081,1.29662,1.2412,0.00145246,0.00145246,0.00145246
