epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1829,2.97933,12.2503,1.76951,0.96821,0.26923,0.35692,0.1632,2.46705,5.58232,1.52344,0.00041675,0.00041675,0.00041675
2,30.6373,2.80812,4.87431,1.5374,0.30471,0.38462,0.3303,0.10605,2.14229,7.19911,1.31557,0.000841753,0.000841753,0.000841753
3,44.247,2.40922,3.9538,1.44761,0.52778,0.11538,0.02364,0.00393,2.88997,69.1212,1.8975,0.00125817,0.00125817,0.00125817
4,59.3541,2.45416,3.70382,1.45139,0.00112,0.30769,0.00098,0.00022,3.07205,4669.84,2.76467,0.00161749,0.00161749,0.00161749
5,72.8455,2.35393,2.5275,1.42873,0.00636,0.11538,0.01463,0.00573,2.39954,187.657,1.83021,0.00160099,0.00160099,0.00160099
6,86.7108,2.3958,2.27142,1.4108,0.41939,0.80769,0.46706,0.14719,2.20858,4.37263,1.37601,0.00158448,0.00158448,0.00158448
7,100.155,2.36057,1.83773,1.32949,0.50077,0.30507,0.1178,0.03995,2.1448,163.076,1.39787,0.00156798,0.00156798,0.00156798
8,112.973,2.36181,1.65702,1.3831,0.50348,0.61105,0.19771,0.06745,2.44553,103.639,1.57705,0.00155148,0.00155148,0.00155148
9,126.449,2.36084,1.56271,1.3819,0.68532,0.51771,0.58882,0.18827,2.35998,2.40901,1.49051,0.00153497,0.00153497,0.00153497
10,139.827,2.15282,1.48827,1.33524,0.62058,0.68837,0.67162,0.25248,2.29617,1.63836,1.46164,0.00151847,0.00151847,0.00151847
11,153.443,2.20232,1.38358,1.32227,0.82475,0.76067,0.79617,0.28277,2.0725,1.6439,1.32728,0.00150197,0.00150197,0.00150197
